"ID","K1","K2","K3","K4","K5","Assigned_cluster","sample","condition","Taxa","ID.y","group","era","Q","origin","meta"
"2FACC",1e-05,0.695829,0.304141,1e-05,1e-05,2,"2FACC_chilling","chilling","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"A632",1e-05,0.797343,0.202627,1e-05,1e-05,2,"A632_cold","cold","A632","A632","SS","I","SS","US","SS_I_US"
"A634",1e-05,0.730294,0.269676,1e-05,1e-05,2,"A634_cold","cold","A634","A634","SS","I","SS","US","SS_I_US"
"A635",1e-05,0.799414,0.200556,1e-05,1e-05,2,"A635_chilling","chilling","A635","A635","SS","I","SS","US","SS_I_US"
"A641",0.038419,0.477188,0.429663,1e-05,0.05472,2,"A641_cold","cold","A641","A641","SS",NA,"SS","US","SS_NA_US"
"A679",1e-05,0.999951,1e-05,1.9e-05,1e-05,2,"A679_chilling","chilling","A679","A679","SS","I","SS","US","SS_I_US"
"A680",1e-05,0.99996,1e-05,1e-05,1e-05,2,"A680_chilling","chilling","A680","A680","SS","I","SS","US","SS_I_US"
"B10",0.09949,0.503259,0.397231,1e-05,1e-05,2,"B10_chilling","chilling","B10","B10","SS","I","SS","US","SS_I_US"
"B104",0.03848,0.562131,0.387531,1e-05,0.011848,2,"B104_chilling","chilling","B104","B104","SS","I","SS","US","SS_I_US"
"B109",1e-05,0.99996,1e-05,1e-05,1e-05,2,"B109_chilling","chilling","B109","B109","SS","I","SS","US","SS_I_US"
"B14A",1e-05,0.99996,1e-05,1e-05,1e-05,2,"B14A_chilling","chilling","B14A","B14A","SS","I","SS","US","SS_I_US"
"B64",0.083692,0.728911,0.165028,1e-05,0.022359,2,"B64_chilling","chilling","B64","B64","SS","I","SS","US","SS_I_US"
"B68",1e-05,0.735816,0.228822,1e-05,0.035342,2,"B68_chilling","chilling","B68","B68","SS","I","SS","US","SS_I_US"
"B73",1e-05,0.999957,1.3e-05,1e-05,1e-05,2,"B73_chilling","chilling","B73","B73","SS","I","SS","US","SS_I_US"
"B84",0.089969,0.714003,0.196008,1e-05,1e-05,2,"B84_cold","cold","B84","B84","SS","I","SS","US","SS_I_US"
"CM105",1e-05,0.682303,0.317667,1e-05,1e-05,2,"CM105_chilling","chilling","CM105","CM105","SS","I","SS","US","SS_I_US"
"CR14",1e-05,0.99996,1e-05,1e-05,1e-05,2,"CR14_chilling","chilling","CR14","CR14","SS","II","SS","US","SS_II_US"
"DE811",1e-05,0.463364,0.454981,0.045425,0.03622,2,"DE811_chilling","chilling","DE811","DE811","SS","I","SS","US","SS_I_US"
"DJ7",1e-05,0.99996,1e-05,1e-05,1e-05,2,"DJ7_chilling","chilling","DJ7","DJ7","SS","II","SS","US","SS_II_US"
"DK78004",1e-05,0.99996,1e-05,1e-05,1e-05,2,"78004_chilling","chilling","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"F42",1.1e-05,0.999952,1.7e-05,1e-05,1e-05,2,"F42_cold","cold","F42","F42","SS",NA,"SS","US","SS_NA_US"
"HB8229",1e-05,0.99996,1e-05,1e-05,1e-05,2,"HB8229_chilling","chilling","HB8229","HB8229","SS",NA,"SS","US","SS_NA_US"
"LH145",1e-05,0.763961,0.236009,1e-05,1e-05,2,"LH145_control","control","LH145","LH145","SS","II","SS","US","SS_II_US"
"LH194",0.089065,0.694358,0.216558,1e-05,1e-05,2,"LH194_chilling","chilling","LH194","LH194","SS","II","SS","US","SS_II_US"
"LH208",0.059344,0.830615,0.110018,1.2e-05,1e-05,2,"LH208_chilling","chilling","LH208","LH208","SS","II","SS","US","SS_II_US"
"LH220Ht",1e-05,0.99996,1e-05,1e-05,1e-05,2,"LH220Ht_chilling","chilling","LH220Ht","LH220Ht","SS","II","SS","US","SS_II_US"
