"ID","K1","K2","K3","K4","K5","Assigned_cluster","sample","condition","Taxa","ID.y","group","era","Q","origin","meta"
"B103",0.588702,0.05706,0.354218,1e-05,1e-05,1,"B103_cold","cold","B103","B103","NSS",NA,"Iodent","US","Iodent_NA_US"
"IBB15",0.652465,1e-05,0.347505,1e-05,1e-05,1,"IBB15_chilling","chilling","IBB15","IBB15","IDT","II","Iodent","US","Iodent_II_US"
"PHG50",0.693263,1e-05,0.30426,1e-05,0.002457,1,"PHG50_chilling","chilling","PHG50","PHG50","IDT","II","Iodent","US","Iodent_II_US"
"S014290",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S014290_chilling","chilling","S014290","S014290","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S014393_2",0.999958,1.2e-05,1e-05,1e-05,1e-05,1,"S014393_2_chilling","chilling","S014393_2","S0143932","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S014393_3",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S014393_3_chilling","chilling","S014393_3","S0143933","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S024136",0.999957,1.3e-05,1e-05,1e-05,1e-05,1,"S024136_chilling","chilling","S024136","S024136","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S03199",0.98087,0.0191,1e-05,1e-05,1e-05,1,"S03199_chilling","chilling","S03199","S03199","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S03729A",0.712299,0.105888,0.10184,0.079963,1e-05,1,"S03729A_chilling","chilling","S03729A","S03729A","Polskie","II","Mix","Poland","Mix_II_Poland"
"S040299A2",0.933013,0.038823,1e-05,0.028143,1e-05,1,"S040299A2_chilling","chilling","S040299A2","S040299A2","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S040464A",0.932325,0.039922,1e-05,0.027733,1e-05,1,"S040464A_chilling","chilling","S040464A","S040464A","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S041844",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S041844_chilling","chilling","S041844","S041844","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S046306",0.964824,0.035146,1e-05,1e-05,1e-05,1,"S046306_chilling","chilling","S046306","S046306","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S046392",0.985435,0.014535,1e-05,1e-05,1e-05,1,"S046392_chilling","chilling","S046392","S046392","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S052662",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S052662_chilling","chilling","S052662","S052662","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S06686",0.999948,1.6e-05,1e-05,1.6e-05,1e-05,1,"S06686_chilling","chilling","S06686","S06686","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S06757",0.999951,1.4e-05,1.4e-05,1.1e-05,1e-05,1,"S06757_chilling","chilling","S06757","S06757","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S06770",0.999954,1.6e-05,1e-05,1e-05,1e-05,1,"S06770_chilling","chilling","S06770","S06770","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S06881A",0.927265,0.067544,1e-05,0.005171,1e-05,1,"S06881A_chilling","chilling","S06881A","S06881A","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S12211_21",0.966331,0.010019,1e-05,0.023629,1e-05,1,"S12211_21_chilling","chilling","S12211_21","S1221121","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S12371_2_3",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S12371_2_3_chilling","chilling","S12371_2_3","S1237123","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S12394",0.811898,0.068847,0.039869,0.079376,1e-05,1,"S12394_chilling","chilling","S12394","S12394","Polskie","II","Mix","Poland","Mix_II_Poland"
"S12402_4_4",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S12402_4_4_chilling","chilling","S12402_4_4","S1240244","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S12418",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S12418_chilling","chilling","S12418","S12418","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S12442",0.500708,0.190387,0.024048,0.280968,0.003889,1,"S12442_chilling","chilling","S12442","S12442","Polskie","II","Mix","Poland","Mix_II_Poland"
"S12544_1_2_2",0.893479,0.052792,1e-05,0.053709,1e-05,1,"S12544_1_2_2_chilling","chilling","S12544_1_2_2","S12544122","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S12607",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S12607_cold","cold","S12607","S12607","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S14225_1",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S14225_1_chilling","chilling","S14225_1","S142251","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S14225_2",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S14225_2_control","control","S14225_2","S142252","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S14225_3",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S14225_3_chilling","chilling","S14225_3","S142253","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S14237",0.999956,1.3e-05,1e-05,1.2e-05,1e-05,1,"S14237_chilling","chilling","S14237","S14237","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S16410",0.82819,0.057887,0.055452,0.058461,1e-05,1,"S16410_chilling","chilling","S16410","S16410","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S16445_3",0.953027,0.02159,0.010323,0.015049,1e-05,1,"S16445_3_chilling","chilling","S16445_3","S164453","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S16448A",0.977164,0.022806,1e-05,1e-05,1e-05,1,"S16448A_chilling","chilling","S16448A","S16448A","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S16567A",0.986396,1e-05,1e-05,0.013574,1e-05,1,"S16567A_chilling","chilling","S16567A","S16567A","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S16582A",0.818208,0.020122,0.082041,0.079618,1e-05,1,"S16582A_chilling","chilling","S16582A","S16582A","Polskie","II","Iodent","Poland","Iodent_II_Poland"
"S245",0.494512,0.169178,0.308791,1e-05,0.027509,1,"S245_chilling","chilling","S245","S245","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S299",0.577275,0.046601,0.259799,0.116315,1e-05,1,"S299_chilling","chilling","S299","S299","Polskie","I","Mix","Poland","Mix_I_Poland"
"S40620",0.692417,0.010384,0.153664,0.127578,0.015958,1,"S40620_chilling","chilling","S40620","S40620","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S41789",0.999959,1.1e-05,1e-05,1e-05,1e-05,1,"S41789_cold","cold","S41789","S41789","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S41796",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S41796_chilling","chilling","S41796","S41796","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S50676",0.719797,1.1e-05,0.276253,1e-05,0.003929,1,"S50676_chilling","chilling","S50676","S50676","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S54555",0.925421,1e-05,0.058568,0.015991,1e-05,1,"S54555_chilling","chilling","S54555","S54555","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S54793",0.999952,1.8e-05,1e-05,1e-05,1e-05,1,"S54793_chilling","chilling","S54793","S54793","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S56125A",0.872497,0.017738,0.020685,0.089069,1e-05,1,"S56125A_chilling","chilling","S56125A","S56125A","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S63648",0.99996,1e-05,1e-05,1e-05,1e-05,1,"S63648_chilling","chilling","S63648","S63648","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S64411",0.999959,1.1e-05,1e-05,1e-05,1e-05,1,"S64411_chilling","chilling","S64411","S64411","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S64417",0.999954,1.6e-05,1e-05,1e-05,1e-05,1,"S64417_chilling","chilling","S64417","S64417","Polskie","I","Iodent","Poland","Iodent_I_Poland"
"S64423_2",0.99995,2e-05,1e-05,1e-05,1e-05,1,"S64423_2_chilling","chilling","S64423_2","S644232","Polskie","I","Iodent","Poland","Iodent_I_Poland"
